,image_path,text,valid
0,BULAC_MS_ARA_1977_0012_l_a-10_flat.png,اليانون وهم الف امة فبعث فيهم نبيئا منهم يوسف بن يانون فامرهم بما امره ونهاهم عما,True
1,BULAC_MS_ARA_1977_0012_l_a-11_flat.png,نهى الله عنه فقتلوه فارسل الله عليهم نارا من السماء فاحرقتهم عن ءاخرهم وبقيت الارض,True
2,BULAC_MS_ARA_1977_0012_l_a-12_flat.png,خالية ما شاء الله ثم خلق فيها قوما يقال لهم اللمون وبعث فيهم نبيا منهم يسمى الحق,True
3,BULAC_MS_ARA_1977_0012_l_a-13_flat.png,فامرهم بما امره ونهاهم عما نهاه الله عنه فقتلوه فارسل الله عليهم نارا من السماء فاحرقتهم,True
4,BULAC_MS_ARA_1977_0012_l_a-14_flat.png,عن ءاخرهم وبقيت الارض خالية ما شاء الله ثم خلق الله خلقا في الارض يقال لهم الطماطم,True
5,BULAC_MS_ARA_1977_0012_l_a-15_flat.png,فبعث الله فيهم نبيا منهم فبدلوا وغيروا فامرهم ونهاهم فقتلوه فاحرقهم الله بنار من السماء,True
6,BULAC_MS_ARA_1977_0012_l_a-16_flat.png,وبقيت الارض خالية ما شاء الله ثم خلق الله قوما من بنى ءادم فمكثوا فيها عشرة ءالاف سنة,True
7,BULAC_MS_ARA_1977_0012_l_a-17_flat.png,وفنوا عن ءاخرهم وخلق الله ءادم ءاخر كذلك ايضا الى عشرة ءالاف وءادم ومكث فيها كل ءادم وذر,True
8,BULAC_MS_ARA_1977_0012_l_a-18_flat.png,ياته عشرة ءالاف عام ثم خلق الله ءادم الاكبر بيده وهو اجد البشر الذي سجد له ملائكته وفضله,True
9,BULAC_MS_ARA_1977_0012_l_a-19_flat.png,على سائر الامم المتقدمة بولده محمد صلى الله عليه وسلم قال رسول الله صلى الله عليه وسلم,True
10,BULAC_MS_ARA_1977_0012_l_a-1_flat.png,عليه وهو بكل شىء عليم قال وهب ابن منبه ثم خلق الله بعد خلق الروح,True
11,BULAC_MS_ARA_1977_0012_l_a-20_flat.png,انا الذي اول ما خلق الله نور واول من سجد لله نور ومن نورى خلق الله العرش والكرسى,True
12,BULAC_MS_ARA_1977_0012_l_a-21_flat.png,واللوح والقلم والشمس والقمر ونور البصيرة والبصر والعقل والمعرفة الذي في خواص البشر,True
13,BULAC_MS_ARA_1977_0012_l_a-22_flat.png,وقد خرج الامام عن ابى عبد الله ابن خميس عن عمار بن رجاء عن العبسى عن سفيان الثورى عن,True
14,BULAC_MS_ARA_1977_0012_l_a-23_flat.png,ابيه عن مجاهد عن ابن عباس وعبد الله بن عمر وابي سعيد الخذرى رضى الله عنه بل عن جميعهم,True
15,BULAC_MS_ARA_1977_0012_l_a-24_flat.png,قالوا صلينا مع رسول الله صلى الله عليه عليه وسلم صلاة الغداء ثم اسند ظهره الى المحراب,True
16,BULAC_MS_ARA_1977_0012_l_a-25_flat.png,ووجهه صلى الله عليه وسلم يتلالا نورا وحسنا وجمالا وطاقة وبشاشة فقال له عمر بن الخطاب,True
17,BULAC_MS_ARA_1977_0012_l_a-26_flat.png,رضى الله عنه يا رسول الله ما احسن خلقك واصدق حديثك واراف مودتك وازيد معاملتك,True
18,BULAC_MS_ARA_1977_0012_l_a-27_flat.png,لله والعباد فقال رسول الله صلى الله عليه وسلم يا عمر اتدرى من انا انا الذي اول ما خلق الله نورى,True
